id,user_id,product_id,action,query_text,timestamp,category_name,detail_type,price,is_synthetic
1,1019,,search,dog feeding accessories,2026-04-29T08:00:00+00:00,,,,True
2,1019,12,view,,2026-04-29T08:01:00+00:00,Pet Supplies,pet-supplies,18.0,True
3,1019,12,click,,2026-04-29T08:05:00+00:00,Pet Supplies,pet-supplies,18.0,True
4,1019,12,add_to_cart,,2026-04-29T08:07:00+00:00,Pet Supplies,pet-supplies,18.0,True
5,1019,12,buy,,2026-04-29T08:08:00+00:00,Pet Supplies,pet-supplies,18.0,True
6,1002,,search,robot kit for kids,2026-04-29T08:11:00+00:00,,,,True
7,1002,9,view,,2026-04-29T08:13:00+00:00,Toys,toys,59.0,True
8,1002,9,click,,2026-04-29T08:14:00+00:00,Toys,toys,59.0,True
9,1002,9,add_to_cart,,2026-04-29T08:17:00+00:00,Toys,toys,59.0,True
10,1002,9,buy,,2026-04-29T08:21:00+00:00,Toys,toys,59.0,True
11,1016,,search,black cotton hoodie,2026-04-29T08:23:00+00:00,,,,True
12,1016,3,view,,2026-04-29T08:26:00+00:00,Fashion,fashion,49.5,True
13,1016,3,click,,2026-04-29T08:28:00+00:00,Fashion,fashion,49.5,True
14,1016,,search,oak living room furniture,2026-04-29T08:31:00+00:00,,,,True
15,1016,6,view,,2026-04-29T08:32:00+00:00,Home & Living,home-living,219.0,True
16,1016,6,click,,2026-04-29T08:34:00+00:00,Home & Living,home-living,219.0,True
17,1016,6,add_to_cart,,2026-04-29T08:36:00+00:00,Home & Living,home-living,219.0,True
18,1016,6,buy,,2026-04-29T08:39:00+00:00,Home & Living,home-living,219.0,True
19,1023,,search,hydrating beauty serum,2026-04-29T08:41:00+00:00,,,,True
20,1023,7,view,,2026-04-29T08:44:00+00:00,Beauty,beauty,27.0,True
21,1023,7,click,,2026-04-29T08:47:00+00:00,Beauty,beauty,27.0,True
22,1020,,search,oak living room furniture,2026-04-29T08:49:00+00:00,,,,True
23,1020,6,view,,2026-04-29T08:50:00+00:00,Home & Living,home-living,219.0,True
24,1020,6,click,,2026-04-29T08:53:00+00:00,Home & Living,home-living,219.0,True
25,1020,6,add_to_cart,,2026-04-29T08:57:00+00:00,Home & Living,home-living,219.0,True
26,1020,6,buy,,2026-04-29T08:59:00+00:00,Home & Living,home-living,219.0,True
27,1012,,search,robot kit for kids,2026-04-29T09:03:00+00:00,,,,True
28,1012,9,view,,2026-04-29T09:05:00+00:00,Toys,toys,59.0,True
29,1012,9,click,,2026-04-29T09:06:00+00:00,Toys,toys,59.0,True
30,1012,9,add_to_cart,,2026-04-29T09:08:00+00:00,Toys,toys,59.0,True
31,1017,,search,dog feeding accessories,2026-04-29T09:10:00+00:00,,,,True
32,1017,12,view,,2026-04-29T09:11:00+00:00,Pet Supplies,pet-supplies,18.0,True
33,1017,12,click,,2026-04-29T09:15:00+00:00,Pet Supplies,pet-supplies,18.0,True
34,1017,12,add_to_cart,,2026-04-29T09:18:00+00:00,Pet Supplies,pet-supplies,18.0,True
35,1017,12,buy,,2026-04-29T09:20:00+00:00,Pet Supplies,pet-supplies,18.0,True
36,1010,,search,hydrating beauty serum,2026-04-29T09:21:00+00:00,,,,True
37,1010,7,view,,2026-04-29T09:23:00+00:00,Beauty,beauty,27.0,True
38,1010,7,click,,2026-04-29T09:25:00+00:00,Beauty,beauty,27.0,True
39,1010,7,add_to_cart,,2026-04-29T09:26:00+00:00,Beauty,beauty,27.0,True
40,1010,7,buy,,2026-04-29T09:28:00+00:00,Beauty,beauty,27.0,True
41,1000,,search,oak living room furniture,2026-04-29T09:32:00+00:00,,,,True
42,1000,6,view,,2026-04-29T09:35:00+00:00,Home & Living,home-living,219.0,True
43,1000,6,click,,2026-04-29T09:39:00+00:00,Home & Living,home-living,219.0,True
44,1000,6,add_to_cart,,2026-04-29T09:42:00+00:00,Home & Living,home-living,219.0,True
45,1000,6,buy,,2026-04-29T09:44:00+00:00,Home & Living,home-living,219.0,True
46,1021,,search,clean architecture book,2026-04-29T09:47:00+00:00,,,,True
47,1021,4,view,,2026-04-29T09:50:00+00:00,Books,book,34.5,True
48,1021,4,click,,2026-04-29T09:51:00+00:00,Books,book,34.5,True
49,1021,4,add_to_cart,,2026-04-29T09:53:00+00:00,Books,book,34.5,True
50,1021,4,buy,,2026-04-29T09:54:00+00:00,Books,book,34.5,True
51,1010,,search,dog feeding accessories,2026-04-29T09:57:00+00:00,,,,True
52,1010,12,view,,2026-04-29T09:58:00+00:00,Pet Supplies,pet-supplies,18.0,True
53,1010,12,click,,2026-04-29T10:02:00+00:00,Pet Supplies,pet-supplies,18.0,True
54,1013,,search,dog feeding accessories,2026-04-29T10:03:00+00:00,,,,True
55,1013,12,view,,2026-04-29T10:05:00+00:00,Pet Supplies,pet-supplies,18.0,True
56,1013,12,click,,2026-04-29T10:08:00+00:00,Pet Supplies,pet-supplies,18.0,True
57,1013,12,add_to_cart,,2026-04-29T10:09:00+00:00,Pet Supplies,pet-supplies,18.0,True
58,1013,12,buy,,2026-04-29T10:11:00+00:00,Pet Supplies,pet-supplies,18.0,True
59,1009,,search,black cotton hoodie,2026-04-29T10:14:00+00:00,,,,True
60,1009,3,view,,2026-04-29T10:15:00+00:00,Fashion,fashion,49.5,True
61,1009,3,click,,2026-04-29T10:18:00+00:00,Fashion,fashion,49.5,True
62,1009,3,add_to_cart,,2026-04-29T10:21:00+00:00,Fashion,fashion,49.5,True
63,1017,,search,dog feeding accessories,2026-04-29T10:25:00+00:00,,,,True
64,1017,12,view,,2026-04-29T10:26:00+00:00,Pet Supplies,pet-supplies,18.0,True
65,1017,12,click,,2026-04-29T10:30:00+00:00,Pet Supplies,pet-supplies,18.0,True
66,1017,12,buy,,2026-04-29T10:34:00+00:00,Pet Supplies,pet-supplies,18.0,True
67,1011,,search,clean architecture book,2026-04-29T10:36:00+00:00,,,,True
68,1011,1,view,,2026-04-29T10:38:00+00:00,Books,book,29.99,True
69,1011,1,click,,2026-04-29T10:39:00+00:00,Books,book,29.99,True
70,1011,1,add_to_cart,,2026-04-29T10:41:00+00:00,Books,book,29.99,True
71,1011,,search,robot kit for kids,2026-04-29T10:45:00+00:00,,,,True
72,1011,9,view,,2026-04-29T10:48:00+00:00,Toys,toys,59.0,True
73,1011,9,click,,2026-04-29T10:52:00+00:00,Toys,toys,59.0,True
74,1011,9,buy,,2026-04-29T10:55:00+00:00,Toys,toys,59.0,True
75,1004,,search,black cotton hoodie,2026-04-29T10:57:00+00:00,,,,True
76,1004,3,view,,2026-04-29T11:00:00+00:00,Fashion,fashion,49.5,True
77,1004,3,click,,2026-04-29T11:03:00+00:00,Fashion,fashion,49.5,True
78,1004,3,add_to_cart,,2026-04-29T11:04:00+00:00,Fashion,fashion,49.5,True
79,1004,3,buy,,2026-04-29T11:05:00+00:00,Fashion,fashion,49.5,True
80,1013,,search,robot kit for kids,2026-04-29T11:07:00+00:00,,,,True
81,1013,9,view,,2026-04-29T11:10:00+00:00,Toys,toys,59.0,True
82,1013,9,click,,2026-04-29T11:11:00+00:00,Toys,toys,59.0,True
83,1013,9,add_to_cart,,2026-04-29T11:13:00+00:00,Toys,toys,59.0,True
84,1013,9,buy,,2026-04-29T11:17:00+00:00,Toys,toys,59.0,True
85,1010,,search,clean architecture book,2026-04-29T11:19:00+00:00,,,,True
86,1010,4,view,,2026-04-29T11:21:00+00:00,Books,book,34.5,True
